time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-15T21:44:04.980Z,39.5758,77.0677,10,4.4,mb,,77,2.222,0.86,us,us70005gsv,2019-10-16T03:17:27.040Z,"82km E of Arzak, China",earthquake,8,2,0.139,15,reviewed,us,us
2019-09-15T16:34:58.872Z,42.4801,84.2853,34.6,4.5,mb,,109,4.352,0.93,us,us60005m8x,2019-09-23T18:57:31.040Z,"139km NE of Kuqa, China",earthquake,9.2,2.8,0.108,25,reviewed,us,us
2019-09-15T16:13:08.310Z,42.2472,84.4744,35,4.5,mb,,82,4.507,1.09,us,us70005h1u,2019-09-23T17:29:56.040Z,"139km ENE of Kuqa, China",earthquake,7.5,2,0.102,28,reviewed,us,us
2019-09-15T02:06:51.844Z,35.0677,23.054,46.07,4.5,mb,,175,1.52,0.96,us,us60005m91,2019-10-13T00:26:16.040Z,"60km WSW of Palaiochora, Greece",earthquake,9,11.2,0.171,10,reviewed,us,us
2019-09-14T19:03:34.374Z,40.7229,32.9884,10,4.3,mb,,41,0.642,1.22,us,us70005gft,2019-09-22T05:30:23.040Z,"12km SE of Cerkes, Turkey",earthquake,2.9,2,0.177,9,reviewed,us,us
2019-09-14T15:33:44.698Z,38.9987,44.2673,10,4.4,mb,,71,1.168,0.71,us,us70005gdv,2019-09-19T18:27:37.040Z,"34km ESE of Caldiran, Turkey",earthquake,6.5,1.9,0.087,38,reviewed,us,us
2019-09-14T11:46:01.284Z,40.7027,33.0176,10,4.3,mb,,38,0.634,0.87,us,us70005gby,2019-10-07T07:49:34.943Z,"11km NW of Orta, Turkey",earthquake,4,1.9,0.154,12,reviewed,us,us
2019-09-14T06:03:13.477Z,40.6861,33.0299,10,4.7,mb,,39,0.636,0.89,us,us70005g9r,2019-10-06T06:18:27.419Z,"9km NW of Orta, Turkey",earthquake,2.8,1.8,0.108,26,reviewed,us,us
2019-09-14T06:00:31.717Z,40.7179,32.9834,10,4.4,mb,,37,0.648,0.67,us,us70005g9p,2019-10-06T06:17:28.528Z,"12km SE of Cerkes, Turkey",earthquake,3.5,1.9,0.108,25,reviewed,us,us
2019-09-13T19:41:46.340Z,50.6836,87.0676,10,4,mb,,137,3.549,0.94,us,us70005g4f,2019-10-16T19:36:18.040Z,"63km NW of Aktash, Russia",earthquake,8.9,1.4,0.15,14,reviewed,us,us
2019-09-13T18:32:24.683Z,36.1639,68.8684,48.95,4.3,mb,,79,1.518,1.35,us,us70005g0f,2019-10-16T17:33:03.040Z,"14km ENE of Baghlan, Afghanistan",earthquake,5.7,10.7,0.201,9,reviewed,us,us
2019-09-13T12:31:17.765Z,36.0477,22.1552,94.22,4.7,mb,,94,1.143,1.22,us,us60005ld0,2019-10-17T14:02:16.040Z,"85km SSE of Koroni, Greece",earthquake,4.8,9.8,0.225,6,reviewed,us,us
2019-09-13T11:36:09.647Z,36.5594,70.7923,116.83,4.5,mb,,156,1.191,0.7,us,us70005ft8,2019-10-15T11:55:40.040Z,"34km S of Jarm, Afghanistan",earthquake,8.8,7.6,0.118,21,reviewed,us,us
2019-09-13T04:29:48.137Z,50.6187,87.262,10,4.7,mb,,56,3.656,1.02,us,us70005fqu,2019-10-12T23:44:12.414Z,"48km NW of Aktash, Russia",earthquake,9.1,1.8,0.052,112,reviewed,us,us
2019-09-13T04:08:05.510Z,50.6199,87.347,10,5,mb,,35,3.677,0.98,us,us70005fqk,2019-10-12T23:41:42.618Z,"43km W of Ust'-Ulagan, Russia",earthquake,7.2,1.9,0.04,199,reviewed,us,us
2019-09-13T00:59:56.125Z,36.2333,83.9973,10,4.4,mb,,279,7.906,1.08,us,us70005fnn,2019-09-13T02:32:48.040Z,"251km SSW of Qiemo, China",earthquake,9.2,2,0.378,2,reviewed,us,us
2019-09-12T09:22:32.739Z,36.6697,70.6855,261.4,4.9,mb,,36,1.888,0.72,us,us70005fas,2019-10-16T12:51:40.040Z,"25km SSW of Jarm, Afghanistan",earthquake,7.3,5.9,0.033,291,reviewed,us,us
2019-09-11T19:06:57.597Z,16.5746,40.1419,10,5,mb,,58,5.659,0.99,us,us70005ezz,2019-09-14T18:16:16.040Z,"129km NE of Massawa, Eritrea",earthquake,9.6,1.9,0.056,100,reviewed,us,us
2019-09-11T08:13:16.394Z,38.0765,24.1067,10,3.3,ml,,76,1.95,0.91,us,us70005enk,2019-10-16T12:28:03.040Z,"10km E of Nea Makri, Greece",earthquake,5.6,1.6,0.091,16,reviewed,us,us
2019-09-11T07:14:38.739Z,36.6682,71.0056,225.7,4.5,mb,,72,1.006,1.02,us,us70005ems,2019-10-16T11:49:02.040Z,"26km SE of Jarm, Afghanistan",earthquake,8.2,7.4,0.056,92,reviewed,us,us
2019-09-10T16:22:47.212Z,41.0373,44.1411,6.71,4.7,mb,,42,0.998,0.71,us,us70005e8a,2019-09-23T15:01:24.918Z,"15km SW of Tashir, Armenia",earthquake,5.9,5.4,0.051,115,reviewed,us,us
2019-09-10T07:06:46.428Z,35.1093,27.8166,19.33,4.3,mb,,104,0.691,0.66,us,us70005e0c,2019-10-06T05:28:42.040Z,"70km SE of Karpathos, Greece",earthquake,6,5.6,0.125,18,reviewed,us,us
